StationId,Date,Pollutant,Value
AP001,2017-11-25,PM2.5,81.4
AP001,2017-11-26,PM2.5,78.32
AP001,2017-11-27,PM2.5,88.76
AP001,2017-11-28,PM2.5,64.18
AP001,2017-11-29,PM2.5,72.47
AP001,2017-11-30,PM2.5,69.8
AP001,2017-12-01,PM2.5,73.96
AP001,2017-12-02,PM2.5,89.9
AP001,2017-12-03,PM2.5,87.14
AP001,2017-12-04,PM2.5,84.64
AP001,2017-12-05,PM2.5,88.36
AP001,2017-12-06,PM2.5,96.83
AP001,2017-12-07,PM2.5,117.46
AP001,2017-12-08,PM2.5,122.88
AP001,2017-12-09,PM2.5,74.28
AP001,2017-12-10,PM2.5,50.32
AP001,2017-12-11,PM2.5,58.47
AP001,2017-12-12,PM2.5,89.35
AP001,2017-12-13,PM2.5,64.42
AP001,2017-12-14,PM2.5,69.4
AP001,2017-12-15,PM2.5,71.07
AP001,2017-12-16,PM2.5,79.76
AP001,2017-12-17,PM2.5,108.06
AP001,2017-12-18,PM2.5,100.75
AP001,2017-12-19,PM2.5,106.25
AP001,2017-12-20,PM2.5,83.79
AP001,2017-12-21,PM2.5,79.98
AP001,2017-12-22,PM2.5,76.27
AP001,2017-12-23,PM2.5,86.5
AP001,2017-12-24,PM2.5,100.62
AP001,2017-12-25,PM2.5,110.73
AP001,2017-12-26,PM2.5,107.7
AP001,2017-12-27,PM2.5,104.81
AP001,2017-12-28,PM2.5,89.95
AP001,2017-12-29,PM2.5,74.58
AP001,2017-12-30,PM2.5,56.68
AP001,2017-12-31,PM2.5,61.03
AP001,2018-01-01,PM2.5,59.03
AP001,2018-01-02,PM2.5,61.88
AP001,2018-01-03,PM2.5,71.57
AP001,2018-01-04,PM2.5,92.44
AP001,2018-01-05,PM2.5,92.9
AP001,2018-01-06,PM2.5,85.15
AP001,2018-01-07,PM2.5,81.47
AP001,2018-01-08,PM2.5,81.58
AP001,2018-01-09,PM2.5,79.56
AP001,2018-01-10,PM2.5,87.43
AP001,2018-01-11,PM2.5,87.33
AP001,2018-01-12,PM2.5,110.39
AP001,2018-01-13,PM2.5,77.51
AP001,2018-01-14,PM2.5,86.96
AP001,2018-01-15,PM2.5,76.29
AP001,2018-01-16,PM2.5,67.06
AP001,2018-01-17,PM2.5,68.34
AP001,2018-01-18,PM2.5,66.28
AP001,2018-01-19,PM2.5,64.98
AP001,2018-01-20,PM2.5,75.46
AP001,2018-01-21,PM2.5,81.58
AP001,2018-01-22,PM2.5,78.27
AP001,2018-01-23,PM2.5,79.01
AP001,2018-01-24,PM2.5,77.98
AP001,2018-01-25,PM2.5,77.96
AP001,2018-01-26,PM2.5,79.04
AP001,2018-01-27,PM2.5,77.78
AP001,2018-01-28,PM2.5,76.48
AP001,2018-01-29,PM2.5,74.2
AP001,2018-01-30,PM2.5,78.23
AP001,2018-01-31,PM2.5,68.53
AP001,2018-02-01,PM2.5,62.08
AP001,2018-02-02,PM2.5,50.64
AP001,2018-02-03,PM2.5,44.21
AP001,2018-02-04,PM2.5,50.71
AP001,2018-02-05,PM2.5,42.27
AP001,2018-02-06,PM2.5,39.41
AP001,2018-02-07,PM2.5,50.56
AP001,2018-02-08,PM2.5,50.54
AP001,2018-02-09,PM2.5,26.22
AP001,2018-02-10,PM2.5,31.83
AP001,2018-02-11,PM2.5,70.26
AP001,2018-02-12,PM2.5,59.47
AP001,2018-02-13,PM2.5,58.71
AP001,2018-02-14,PM2.5,56.29
AP001,2018-02-15,PM2.5,50.41
AP001,2018-02-16,PM2.5,57.53
AP001,2018-02-17,PM2.5,43.82
AP001,2018-02-18,PM2.5,42.71
AP001,2018-02-19,PM2.5,54.73
AP001,2018-02-20,PM2.5,50.91
AP001,2018-02-21,PM2.5,38.5
AP001,2018-02-22,PM2.5,32.21
AP001,2018-02-23,PM2.5,35.36
AP001,2018-02-24,PM2.5,59.65
AP001,2018-02-27,PM2.5,39.52
AP001,2018-02-28,PM2.5,43.08
AP001,2018-03-01,PM2.5,38.1
AP001,2018-03-02,PM2.5,33.08
AP001,2018-03-03,PM2.5,29.7
AP001,2018-03-04,PM2.5,38.67
AP001,2018-03-05,PM2.5,30.04
AP001,2018-03-06,PM2.5,39.72
AP001,2018-03-07,PM2.5,38.21
AP001,2018-03-08,PM2.5,58.31
AP001,2018-03-09,PM2.5,62.49
AP001,2018-03-10,PM2.5,49.04
AP001,2018-03-11,PM2.5,41.67
AP001,2018-03-12,PM2.5,32.44
AP001,2018-03-13,PM2.5,26.43
AP001,2018-03-14,PM2.5,25.08
AP001,2018-03-15,PM2.5,26.09
AP001,2018-03-17,PM2.5,49.58
AP001,2018-03-18,PM2.5,43.52
AP001,2018-03-19,PM2.5,39.83
AP001,2018-03-20,PM2.5,36.89
AP001,2018-03-22,PM2.5,52.69
AP001,2018-03-23,PM2.5,46.48
AP001,2018-03-24,PM2.5,44.22
AP001,2018-03-26,PM2.5,39.05
AP001,2018-03-27,PM2.5,30.21
AP001,2018-03-28,PM2.5,31.14
AP001,2018-04-02,PM2.5,24.23
AP001,2018-04-03,PM2.5,22.29
AP001,2018-04-04,PM2.5,25.28
AP001,2018-04-07,PM2.5,24.4
AP001,2018-04-09,PM2.5,23.72
AP001,2018-04-10,PM2.5,26.12
AP001,2018-05-11,PM2.5,12.42
AP001,2018-05-17,PM2.5,15.2
AP001,2018-05-24,PM2.5,25.62
AP001,2018-05-25,PM2.5,40.32
AP001,2018-05-26,PM2.5,13.07
AP001,2018-05-27,PM2.5,16.56
AP001,2018-05-28,PM2.5,19.57
AP001,2018-06-03,PM2.5,27.42
AP001,2018-06-04,PM2.5,31.26
AP001,2018-06-05,PM2.5,28.12
AP001,2018-06-21,PM2.5,18.81
AP001,2018-06-24,PM2.5,18.09
AP001,2018-06-26,PM2.5,16.86
AP001,2018-06-28,PM2.5,16.46
AP001,2018-06-29,PM2.5,18.4
AP001,2018-06-30,PM2.5,20.31
AP001,2018-07-01,PM2.5,23.99
AP001,2018-07-02,PM2.5,20.36
AP001,2018-07-03,PM2.5,15.08
AP001,2018-07-04,PM2.5,19.42
AP001,2018-07-05,PM2.5,13.93
AP001,2018-07-06,PM2.5,18.29
AP001,2018-07-07,PM2.5,17.25
AP001,2018-07-11,PM2.5,16.89
AP001,2018-07-12,PM2.5,15.95
AP001,2018-07-15,PM2.5,8.68
AP001,2018-07-18,PM2.5,10.45
AP001,2018-07-20,PM2.5,14.48
AP001,2018-07-21,PM2.5,17.96
AP001,2018-07-24,PM2.5,17.42
AP001,2018-07-25,PM2.5,17.79
AP001,2018-07-28,PM2.5,17.74
AP001,2018-07-29,PM2.5,21.78
AP001,2018-07-30,PM2.5,28.31
AP001,2018-07-31,PM2.5,27.1
AP001,2018-08-01,PM2.5,20.21
AP001,2018-08-02,PM2.5,18.52
AP001,2018-08-03,PM2.5,25.59
AP001,2018-08-04,PM2.5,21.79
AP001,2018-08-07,PM2.5,18.47
AP001,2018-08-08,PM2.5,16.73
AP001,2018-08-09,PM2.5,18.72
AP001,2018-08-10,PM2.5,11.39
AP001,2018-08-11,PM2.5,10.62
AP001,2018-08-13,PM2.5,9.28
AP001,2018-08-14,PM2.5,7.45
AP001,2018-08-15,PM2.5,15.32
AP001,2018-08-17,PM2.5,11.39
AP001,2018-08-18,PM2.5,12.51
AP001,2018-08-19,PM2.5,8.71
AP001,2018-08-22,PM2.5,7.0
AP001,2018-08-24,PM2.5,15.76
AP001,2018-08-25,PM2.5,18.79
AP001,2018-08-27,PM2.5,10.1
AP001,2018-08-28,PM2.5,14.43
AP001,2018-08-29,PM2.5,22.65
AP001,2018-08-30,PM2.5,28.45
AP001,2018-08-31,PM2.5,24.94
AP001,2018-09-01,PM2.5,26.24
AP001,2018-09-02,PM2.5,30.6
AP001,2018-09-04,PM2.5,24.22
AP001,2018-09-07,PM2.5,31.3
AP001,2018-09-08,PM2.5,27.1
AP001,2018-09-11,PM2.5,33.28
AP001,2018-09-13,PM2.5,40.56
AP001,2018-09-14,PM2.5,37.93
AP001,2018-09-15,PM2.5,31.64
AP001,2018-09-21,PM2.5,35.02
AP001,2018-09-22,PM2.5,24.29
AP001,2018-09-25,PM2.5,26.13
AP001,2018-09-26,PM2.5,24.08
AP001,2018-10-05,PM2.5,25.88
AP001,2018-10-06,PM2.5,49.7
AP001,2018-10-09,PM2.5,65.16
AP001,2018-10-10,PM2.5,52.88
AP001,2018-10-12,PM2.5,40.99
AP001,2018-10-14,PM2.5,39.22
AP001,2018-10-15,PM2.5,36.86
AP001,2018-10-16,PM2.5,34.41
AP001,2018-10-26,PM2.5,56.53
AP001,2018-10-27,PM2.5,69.42
AP001,2018-10-28,PM2.5,53.53
AP001,2018-10-29,PM2.5,48.33
AP001,2018-10-30,PM2.5,58.65
AP001,2018-11-05,PM2.5,21.58
AP001,2018-11-06,PM2.5,23.22
AP001,2018-11-09,PM2.5,51.51
AP001,2018-11-10,PM2.5,56.85
AP001,2018-11-11,PM2.5,68.25
AP001,2018-11-12,PM2.5,84.48
AP001,2018-11-13,PM2.5,77.38
AP001,2018-11-14,PM2.5,71.23
AP001,2018-11-18,PM2.5,19.48
AP001,2018-11-26,PM2.5,85.11
AP001,2018-11-27,PM2.5,93.95
AP001,2018-11-28,PM2.5,80.96
AP001,2018-12-01,PM2.5,77.86
AP001,2018-12-02,PM2.5,70.89
AP001,2018-12-03,PM2.5,74.34
AP001,2018-12-04,PM2.5,97.09
AP001,2018-12-09,PM2.5,111.21
AP001,2018-12-10,PM2.5,107.24
AP001,2018-12-11,PM2.5,89.07
AP001,2018-12-14,PM2.5,90.61
AP001,2018-12-15,PM2.5,96.57
AP001,2018-12-21,PM2.5,48.88
AP001,2018-12-22,PM2.5,55.24
AP001,2018-12-23,PM2.5,83.4
AP001,2018-12-24,PM2.5,93.78
AP001,2018-12-25,PM2.5,92.72
AP001,2018-12-28,PM2.5,73.19
AP001,2018-12-29,PM2.5,82.53
AP001,2018-12-30,PM2.5,95.18
AP001,2018-12-31,PM2.5,79.29
AP001,2019-01-01,PM2.5,83.17
AP001,2019-01-02,PM2.5,109.97
AP001,2019-01-03,PM2.5,139.38
AP001,2019-01-04,PM2.5,126.47
AP001,2019-01-05,PM2.5,127.94
AP001,2019-01-06,PM2.5,126.66
AP001,2019-01-07,PM2.5,121.47
AP001,2019-01-08,PM2.5,118.17
AP001,2019-01-09,PM2.5,97.45
AP001,2019-01-10,PM2.5,115.23
AP001,2019-01-11,PM2.5,121.81
AP001,2019-01-12,PM2.5,99.69
AP001,2019-01-13,PM2.5,92.66
AP001,2019-01-14,PM2.5,116.99
AP001,2019-01-15,PM2.5,120.33
AP001,2019-01-16,PM2.5,108.43
AP001,2019-01-17,PM2.5,118.0
AP001,2019-01-18,PM2.5,107.94
AP001,2019-01-19,PM2.5,108.34
AP001,2019-01-20,PM2.5,96.45
AP001,2019-01-22,PM2.5,100.34
AP001,2019-01-24,PM2.5,62.74
AP001,2019-01-28,PM2.5,51.67
AP001,2019-01-29,PM2.5,54.24
AP001,2019-01-30,PM2.5,47.81
AP001,2019-01-31,PM2.5,84.99
AP001,2019-02-01,PM2.5,63.05
AP001,2019-02-02,PM2.5,71.09
AP001,2019-02-04,PM2.5,73.21
AP001,2019-02-05,PM2.5,81.64
AP001,2019-02-06,PM2.5,81.71
AP001,2019-02-07,PM2.5,75.52
AP001,2019-02-09,PM2.5,65.56
AP001,2019-02-13,PM2.5,70.86
