StationId,City,State,Station,Location,Organization
AP001,Amaravati,Andhra Pradesh,Secretariat,Amaravati,APPCB
AP002,Rajamahendravaram,Andhra Pradesh,Anand Kala Kshetram,Rajamahendravaram,APPCB
AP003,Tirupati,Andhra Pradesh,Tirumala,Tirupati,APPCB
AP004,Vijayawada,Andhra Pradesh,PWD Grounds,Vijayawada,APPCB
AP005,Visakhapatnam,Andhra Pradesh,GVM Corporation,Visakhapatnam,APPCB
AS001,Guwahati,Assam,Railway Colony,Guwahati,APCB
BR001,Gaya,Bihar,Collectorate,Gaya,BSPCB
BR002,Gaya,Bihar,SFTI Kusdihra,Gaya,BSPCB
BR003,Hajipur,Bihar,Industrial Area,Hajipur,BSPCB
BR004,Muzaffarpur,Bihar,Muzaffarpur Collectorate,Muzaffarpur,BSPCB
BR005,Patna,Bihar,DRM Office Danapur,Patna,BSPCB
BR006,Patna,Bihar,Govt. High School Shikarpur,Patna,BSPCB
BR007,Patna,Bihar,IGSC Planetarium Complex,Patna,BSPCB
BR008,Patna,Bihar,Muradpur,Patna,BSPCB
BR009,Patna,Bihar,Rajbansi Nagar,Patna,BSPCB
BR010,Patna,Bihar,Samanpura,Patna,BSPCB
CH001,Chandigarh,Chandigarh,Sector-25,Chandigarh,CPCC
DL001,Delhi,Delhi,Alipur,Delhi,DPCC
DL002,Delhi,Delhi,Anand Vihar,Delhi,DPCC
DL003,Delhi,Delhi,Ashok Vihar,Delhi,DPCC
DL004,Delhi,Delhi,Aya Nagar,Delhi,IMD
DL005,Delhi,Delhi,Bawana,Delhi,DPCC
DL006,Delhi,Delhi,Burari Crossing,Delhi,IMD
DL007,Delhi,Delhi,CRRI Mathura Road,Delhi,IMD
DL008,Delhi,Delhi,DTU,Delhi,CPCB
DL009,Delhi,Delhi,Dr. Karni Singh Shooting Range,Delhi,DPCC
DL010,Delhi,Delhi,Dwarka-Sector 8,Delhi,DPCC
DL011,Delhi,Delhi,East Arjun Nagar,Delhi,CPCB
DL012,Delhi,Delhi,IGI Airport (T3),Delhi,IMD
